data_ihsg_2007_2024-2
Date,Open,High,Low,Close,AdjClose,Volume,Inflasi,Kurs Jual,Kurs Beli,Kurs Tengah
12/31/2021,6544.52,6688.38,6484.58,6581.48,6581.48,4373800600,1.87%,14400.56043,14257.2713,14328.91587
1/31/2022,6586.26,6738.11,6523.93,6631.15,6631.15,3713686800,2.18%,14406.91667,14263.56429,14335.24048
2/28/2022,6657.79,6929.91,6648.08,6888.17,6888.17,4052888600,2.06%,14422.81333,14279.30278,14351.05806
3/31/2022,6964.7,7099.5,6814.18,7071.44,7071.44,4623295400,2.64%,14420.38227,14276.89591,14348.63909
4/30/2022,7093.7,7355.3,7040.49,7228.91,7228.91,4142302500,3.47%,14440.58263,14296.89526,14368.73895
5/31/2022,7154.92,7156.48,6509.88,7148.97,7148.97,2825909500,3.55%,14681.04267,14534.96267,14608.00267
6/30/2022,7130.6,7258,6859.6,6911.58,6911.58,4888780200,4.35%,14762.01619,14615.13048,14688.57333
7/31/2022,6911.58,7032.35,6559.64,6951.12,6951.12,4002103900,4.94%,15059.30333,14909.45952,14984.38143
8/31/2022,6951.12,7230.11,6902.63,7178.59,7178.59,5266553400,4.69%,14924.89045,14776.38318,14850.63682
9/30/2022,7178.59,7377.5,6926.86,7040.8,7040.8,5838264900,5.95%,15046.63136,14896.91455,14971.77295
10/31/2022,7040.8,7135.91,6747.38,7098.89,7098.89,4244815700,5.71%,15494.56333,15340.38905,15417.47619
11/30/2022,7098.93,7128.14,6955.53,7081.31,7081.31,3977614600,5.42%,15737.02136,15580.43318,15658.72727
12/31/2022,7081.19,7090.28,6641.81,6850.62,6850.62,3416219200,5.51%,15693.07409,15536.92591,15615
